gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,overall,reading_score,writing_score,study_time,screen_time,health,going_out_with_friends,absences,failure,science_score,activities,romantic,travel_time,math_score
female,group A,high school,free/reduced,completed,77,88,85,10,1,Good,Often,4,0,58,Participates,No,>60 min,77.0
male,group C,some college,standard,none,91,74,76,10,5,Excellent,Often,15,1,99,Doesn't Participate,No,<15 min,85.0
female,group C,associate's degree,standard,completed,83,85,90,2,2,Average,Never,12,1,69,Participates,Yes,>60 min,81.75
female,group C,high school,standard,none,63,69,74,2,4,Good,Sometimes,11,1,6,Doesn't Participate,No,15-30 min,53.0
female,group C,associate's degree,standard,completed,68,86,84,5,5,Good,Often,14,0,70,Participates,Yes,<15 min,77.0
female,group D,some high school,standard,none,59,67,61,6,2,Poor,Rarely,1,0,66,Doesn't Participate,No,<15 min,63.25
female,group B,associate's degree,standard,completed,90,90,91,5,6,Poor,Sometimes,3,0,17,Doesn't Participate,Yes,>60 min,72.0
female,group D,bachelor's degree,standard,completed,71,76,83,6,3,Average,Often,9,1,22,Doesn't Participate,Yes,30-60 min,63.0
male,group E,bachelor's degree,standard,completed,76,62,66,1,3,Poor,Rarely,0,0,88,Participates,Yes,15-30 min,73.0
male,group D,associate's degree,standard,none,80,68,72,8,7,Good,Never,5,0,5,Doesn't Participate,Yes,30-60 min,56.25
female,group D,master's degree,standard,none,55,64,70,9,1,Excellent,Rarely,19,0,57,Doesn't Participate,Yes,30-60 min,61.5
male,group E,associate's degree,standard,none,76,71,67,6,5,Good,Often,16,0,65,Participates,No,<15 min,69.75
male,group B,high school,standard,completed,73,71,68,5,8,Excellent,Often,9,0,48,Participates,Yes,30-60 min,65.0
female,group D,associate's degree,free/reduced,none,52,59,56,10,2,Excellent,Often,9,0,28,Doesn't Participate,Yes,30-60 min,48.75
male,group C,some college,free/reduced,none,68,68,61,5,2,Good,Often,18,0,95,Participates,Yes,30-60 min,73.0
male,group A,high school,standard,none,59,52,46,4,1,Poor,Never,9,1,44,Doesn't Participate,No,15-30 min,50.25
female,group B,associate's degree,standard,none,49,52,54,4,8,Poor,Often,4,1,98,Participates,Yes,>60 min,63.25
male,group C,high school,standard,none,70,74,71,8,6,Excellent,Never,20,0,69,Participates,No,>60 min,71.0
male,group D,some college,free/reduced,none,61,47,56,8,5,Good,Sometimes,16,0,4,Doesn't Participate,No,15-30 min,42.0
female,group C,associate's degree,free/reduced,none,60,75,74,2,4,Excellent,Never,3,1,53,Participates,Yes,15-30 min,65.5
male,group B,some high school,standard,completed,64,53,57,4,6,Excellent,Sometimes,7,1,86,Participates,Yes,15-30 min,65.0
male,group A,associate's degree,free/reduced,completed,79,82,82,2,5,Average,Rarely,4,1,11,Participates,Yes,30-60 min,63.5
female,group A,associate's degree,free/reduced,none,65,85,76,1,1,Good,Sometimes,14,0,74,Doesn't Participate,Yes,>60 min,75.0
female,group C,associate's degree,standard,none,64,64,70,6,2,Poor,Often,5,0,100,Doesn't Participate,Yes,15-30 min,74.5
female,group C,some college,standard,none,83,83,90,3,3,Good,Sometimes,14,1,71,Doesn't Participate,Yes,<15 min,81.75
female,group C,bachelor's degree,standard,none,81,88,90,4,6,Good,Sometimes,2,1,31,Participates,No,<15 min,72.5
female,group B,high school,standard,none,54,64,68,6,6,Good,Often,12,0,19,Doesn't Participate,Yes,30-60 min,51.25
male,group D,high school,standard,completed,68,64,66,10,5,Poor,Sometimes,7,1,36,Doesn't Participate,Yes,15-30 min,58.5
female,group C,some college,standard,none,54,48,52,7,5,Excellent,Never,2,0,63,Participates,No,>60 min,54.25
female,group D,some college,free/reduced,completed,59,78,76,5,5,Excellent,Rarely,15,0,5,Doesn't Participate,No,>60 min,54.5
female,group B,some high school,standard,none,66,69,68,10,7,Poor,Never,6,0,61,Doesn't Participate,No,<15 min,66.0
male,group E,some college,standard,none,76,71,72,1,6,Poor,Rarely,10,1,51,Doesn't Participate,No,30-60 min,67.5
female,group D,master's degree,standard,none,74,79,82,3,6,Average,Often,5,0,87,Doesn't Participate,No,15-30 min,80.5
female,group B,associate's degree,standard,completed,94,87,92,1,1,Excellent,Sometimes,16,0,40,Doesn't Participate,No,>60 min,78.25
male,group C,some college,free/reduced,none,63,61,54,9,5,Average,Sometimes,13,1,21,Doesn't Participate,Yes,30-60 min,49.75
female,group E,associate's degree,standard,completed,95,89,92,5,1,Average,Never,16,1,51,Participates,No,30-60 min,81.75
female,group D,master's degree,free/reduced,none,40,59,54,7,6,Excellent,Rarely,8,1,5,Doesn't Participate,Yes,30-60 min,39.5
female,group B,some high school,standard,none,82,82,80,1,2,Poor,Often,13,0,33,Participates,No,<15 min,69.25
male,group A,high school,standard,none,68,70,66,6,4,Average,Often,1,1,34,Participates,No,30-60 min,59.5
male,group B,bachelor's degree,free/reduced,none,55,59,54,9,5,Poor,Never,5,1,35,Participates,No,30-60 min,50.75
male,group C,master's degree,standard,none,79,78,77,7,8,Excellent,Sometimes,14,0,77,Doesn't Participate,Yes,30-60 min,77.75
female,group C,bachelor's degree,standard,none,86,92,87,3,5,Good,Sometimes,9,1,75,Participates,Yes,15-30 min,85.0
male,group D,some college,standard,none,76,71,73,1,6,Excellent,Never,4,0,19,Participates,Yes,30-60 min,59.75
male,group A,some high school,standard,none,64,50,43,4,3,Excellent,Never,17,0,18,Participates,Yes,>60 min,43.75
male,group D,some high school,free/reduced,none,62,49,52,3,1,Average,Sometimes,14,1,14,Participates,No,>60 min,44.25
female,group B,some high school,standard,completed,54,61,62,8,6,Excellent,Sometimes,13,0,61,Participates,No,<15 min,59.5
female,group B,master's degree,free/reduced,completed,77,97,94,2,3,Average,Never,2,1,9,Doesn't Participate,No,>60 min,69.25
female,group C,some high school,standard,completed,76,87,85,7,1,Poor,Rarely,10,0,81,Doesn't Participate,No,30-60 min,82.25
female,group D,some college,standard,none,74,89,84,8,4,Poor,Rarely,3,1,96,Participates,No,30-60 min,85.75
female,group E,some college,standard,completed,66,74,73,4,1,Average,Rarely,1,1,11,Participates,No,>60 min,56.0
female,group D,some high school,standard,completed,66,78,78,10,2,Average,Sometimes,18,0,15,Participates,No,>60 min,59.25
female,group B,high school,free/reduced,completed,67,78,79,10,5,Average,Sometimes,3,1,47,Doesn't Participate,Yes,30-60 min,67.75
male,group D,some college,standard,none,71,49,52,1,3,Poor,Never,11,1,82,Participates,No,<15 min,63.5
female,group C,associate's degree,standard,none,91,86,84,3,2,Average,Often,8,1,99,Participates,No,>60 min,90.0
male,group D,bachelor's degree,standard,none,69,58,57,5,5,Poor,Never,17,1,69,Doesn't Participate,No,<15 min,63.25
male,group C,master's degree,free/reduced,none,54,59,50,4,5,Poor,Sometimes,11,1,55,Doesn't Participate,Yes,30-60 min,54.5
male,group C,high school,standard,completed,53,52,49,8,6,Excellent,Often,12,0,61,Participates,Yes,15-30 min,53.75
male,group E,some college,standard,none,68,60,59,2,8,Average,Rarely,9,0,38,Participates,No,>60 min,56.25
male,group C,some high school,free/reduced,completed,56,61,60,1,5,Excellent,Sometimes,10,0,62,Participates,Yes,<15 min,59.75
female,group C,high school,free/reduced,none,36,53,43,9,2,Excellent,Never,19,1,55,Doesn't Participate,No,15-30 min,46.75
female,group D,bachelor's degree,free/reduced,none,29,41,47,7,4,Average,Often,7,0,38,Participates,Yes,30-60 min,38.75
female,group C,associate's degree,standard,none,62,74,70,5,3,Average,Sometimes,6,1,21,Participates,No,>60 min,56.75
female,group C,associate's degree,standard,completed,68,67,73,4,8,Average,Often,6,1,84,Doesn't Participate,Yes,30-60 min,73.0
female,group C,some high school,standard,none,47,54,53,2,8,Average,Rarely,11,0,76,Doesn't Participate,No,<15 min,57.5
male,group E,associate's degree,standard,completed,62,61,58,10,4,Good,Often,16,0,3,Participates,Yes,>60 min,46.0
female,group E,associate's degree,standard,completed,79,88,94,8,7,Excellent,Never,3,1,51,Participates,Yes,30-60 min,78.0
male,group B,high school,standard,completed,73,69,68,2,7,Good,Rarely,18,1,36,Participates,No,15-30 min,61.5
female,group C,bachelor's degree,free/reduced,completed,66,83,83,3,2,Good,Rarely,11,0,62,Participates,No,30-60 min,73.5
male,group C,associate's degree,standard,completed,51,60,58,9,2,Excellent,Often,8,0,34,Doesn't Participate,Yes,>60 min,50.75
female,group D,high school,standard,none,51,66,62,10,6,Excellent,Never,3,0,81,Doesn't Participate,Yes,30-60 min,65.0
male,group E,bachelor's degree,standard,completed,85,66,71,7,6,Good,Rarely,8,1,97,Participates,No,30-60 min,79.75
male,group A,associate's degree,standard,completed,97,92,86,6,7,Poor,Rarely,3,0,29,Doesn't Participate,No,>60 min,76.0
male,group C,high school,standard,completed,75,69,68,9,3,Average,Often,14,1,95,Doesn't Participate,No,<15 min,76.75
male,group D,associate's degree,free/reduced,completed,79,82,80,10,2,Average,Rarely,18,0,26,Doesn't Participate,Yes,15-30 min,66.75
female,group C,associate's degree,standard,none,81,77,79,8,5,Average,Rarely,16,1,22,Participates,Yes,>60 min,64.75
female,group D,associate's degree,standard,none,82,95,89,2,6,Poor,Rarely,0,1,50,Doesn't Participate,No,>60 min,79.0
female,group D,master's degree,standard,none,64,63,66,5,3,Excellent,Often,8,1,3,Doesn't Participate,Yes,15-30 min,49.0
male,group E,some high school,free/reduced,completed,78,83,80,8,2,Average,Rarely,7,1,25,Participates,Yes,<15 min,66.5
female,group A,some high school,standard,completed,92,100,97,9,4,Average,Never,14,1,70,Participates,No,30-60 min,89.75
male,group C,high school,standard,completed,72,67,64,9,5,Average,Rarely,1,1,53,Doesn't Participate,No,<15 min,64.0
female,group C,high school,free/reduced,none,62,67,64,2,2,Excellent,Rarely,15,1,44,Participates,No,15-30 min,59.25
male,group C,master's degree,standard,none,79,72,69,2,8,Poor,Often,0,1,46,Participates,No,15-30 min,66.5
male,group C,some high school,free/reduced,none,79,76,65,1,2,Average,Sometimes,18,1,23,Participates,Yes,<15 min,60.75
male,group B,bachelor's degree,free/reduced,completed,87,90,88,4,5,Good,Never,13,0,39,Doesn't Participate,Yes,<15 min,76.0
female,group B,associate's degree,standard,none,40,48,50,9,1,Poor,Often,5,1,90,Participates,No,15-30 min,57.0
male,group D,some college,free/reduced,none,77,62,64,9,2,Good,Sometimes,11,0,22,Participates,No,>60 min,56.25
male,group E,associate's degree,standard,none,53,45,40,10,8,Poor,Often,20,1,84,Participates,No,30-60 min,55.5
female,group C,some college,free/reduced,none,32,39,33,4,5,Average,Never,9,1,18,Doesn't Participate,No,15-30 min,30.5
female,group C,associate's degree,standard,completed,55,72,79,7,4,Poor,Often,12,0,51,Participates,No,<15 min,64.25
male,group C,master's degree,free/reduced,none,61,67,66,10,2,Average,Often,5,0,76,Doesn't Participate,Yes,15-30 min,67.5
female,group B,associate's degree,free/reduced,none,53,70,70,4,3,Average,Never,7,1,69,Participates,No,<15 min,65.5
male,group D,some high school,standard,none,73,66,62,9,4,Excellent,Sometimes,5,1,45,Participates,Yes,>60 min,61.5
female,group D,some college,standard,completed,74,75,79,8,5,Poor,Often,19,0,72,Doesn't Participate,No,>60 min,75.0
female,group C,some college,standard,none,63,74,74,8,2,Poor,Often,2,0,14,Doesn't Participate,No,30-60 min,56.25
male,group C,bachelor's degree,standard,completed,96,90,92,9,6,Excellent,Never,16,0,81,Doesn't Participate,No,30-60 min,89.75
female,group D,some college,free/reduced,completed,63,80,80,3,2,Good,Rarely,8,0,63,Doesn't Participate,No,<15 min,71.5
male,group B,bachelor's degree,free/reduced,none,48,51,46,8,8,Poor,Often,6,1,57,Participates,Yes,>60 min,50.5
male,group B,associate's degree,standard,none,48,43,45,9,7,Poor,Never,19,1,1,Doesn't Participate,No,<15 min,34.25
female,group E,bachelor's degree,free/reduced,completed,92,100,100,7,4,Excellent,Often,20,0,75,Doesn't Participate,No,<15 min,91.75
female,group D,master's degree,free/reduced,completed,61,71,78,10,2,Good,Never,14,0,35,Doesn't Participate,Yes,30-60 min,61.25
male,group B,high school,free/reduced,none,63,48,47,10,5,Poor,Sometimes,2,1,39,Doesn't Participate,Yes,>60 min,49.25
male,group D,bachelor's degree,free/reduced,none,68,68,67,7,7,Excellent,Sometimes,20,0,67,Doesn't Participate,Yes,15-30 min,67.5
male,group B,some college,standard,completed,71,75,70,6,4,Good,Rarely,4,1,68,Participates,Yes,>60 min,71.0
male,group A,bachelor's degree,standard,none,91,96,92,2,6,Excellent,Rarely,4,1,66,Doesn't Participate,No,15-30 min,86.25
female,group C,some college,standard,none,53,62,56,9,3,Good,Rarely,10,0,82,Participates,No,30-60 min,63.25
female,group C,high school,free/reduced,completed,50,66,64,7,4,Excellent,Rarely,12,0,95,Participates,Yes,30-60 min,68.75
female,group E,high school,standard,none,74,81,71,2,1,Good,Often,17,1,64,Participates,No,<15 min,72.5
male,group A,associate's degree,free/reduced,completed,40,55,53,3,2,Average,Rarely,9,0,52,Participates,No,<15 min,50.0
male,group A,some college,standard,completed,61,51,52,3,7,Excellent,Rarely,10,0,62,Participates,Yes,30-60 min,56.5
female,group B,high school,standard,none,81,91,89,10,2,Excellent,Never,12,0,97,Doesn't Participate,No,30-60 min,89.5
female,group B,some college,free/reduced,completed,48,56,58,7,5,Good,Often,9,1,2,Participates,Yes,<15 min,41.0
female,group D,master's degree,standard,none,53,61,68,10,5,Good,Sometimes,0,0,44,Participates,No,>60 min,56.5
female,group D,some high school,standard,none,81,97,96,5,4,Good,Rarely,17,0,60,Participates,No,>60 min,83.5
female,group E,some high school,standard,none,77,79,80,10,8,Good,Never,18,1,16,Doesn't Participate,Yes,>60 min,63.0
female,group D,bachelor's degree,free/reduced,none,63,73,78,7,6,Average,Sometimes,3,0,37,Participates,No,15-30 min,62.75
female,group D,associate's degree,standard,completed,73,75,80,6,5,Excellent,Never,18,1,98,Participates,No,30-60 min,81.5
female,group D,some college,standard,none,69,77,77,5,4,Average,Often,13,0,27,Doesn't Participate,No,15-30 min,62.5
female,group C,associate's degree,standard,none,65,76,76,4,2,Good,Sometimes,3,0,36,Doesn't Participate,Yes,30-60 min,63.25
female,group A,high school,standard,none,55,73,73,8,7,Excellent,Often,12,0,8,Doesn't Participate,No,15-30 min,52.25
female,group C,bachelor's degree,free/reduced,none,44,63,62,5,8,Poor,Rarely,18,1,22,Participates,Yes,<15 min,47.75
female,group C,some college,standard,none,54,64,65,1,2,Excellent,Sometimes,11,1,64,Participates,Yes,<15 min,61.75
female,group A,some high school,standard,none,48,66,65,8,6,Poor,Never,14,1,3,Participates,Yes,15-30 min,45.5
male,group C,some college,free/reduced,none,58,57,54,8,3,Excellent,Rarely,19,0,17,Doesn't Participate,Yes,30-60 min,46.5
male,group A,some high school,standard,none,71,62,50,1,2,Good,Rarely,19,1,57,Doesn't Participate,Yes,15-30 min,60.0
male,group E,bachelor's degree,standard,none,68,68,64,4,6,Average,Often,4,1,72,Doesn't Participate,No,<15 min,68.0
female,group E,high school,standard,none,74,76,73,10,2,Good,Sometimes,5,1,51,Participates,Yes,<15 min,68.5
female,group C,bachelor's degree,standard,completed,92,100,99,5,5,Poor,Sometimes,8,1,48,Doesn't Participate,Yes,15-30 min,84.75
female,group C,bachelor's degree,standard,completed,56,79,72,6,1,Good,Sometimes,2,1,30,Doesn't Participate,No,<15 min,59.25
male,group B,high school,free/reduced,none,30,24,15,9,3,Poor,Often,14,0,22,Doesn't Participate,Yes,15-30 min,22.75
male,group A,some high school,standard,none,53,54,48,4,3,Average,Sometimes,17,1,47,Doesn't Participate,No,15-30 min,50.5
female,group D,high school,standard,none,69,77,73,1,1,Poor,Often,1,1,80,Doesn't Participate,Yes,>60 min,74.75
female,group D,some high school,standard,none,65,82,81,5,6,Poor,Sometimes,4,1,55,Participates,No,<15 min,70.75
female,group D,master's degree,standard,none,54,60,63,8,6,Poor,Often,10,1,65,Participates,No,15-30 min,60.5
female,group C,high school,standard,none,29,29,30,10,2,Good,Often,0,1,17,Participates,Yes,>60 min,26.25
female,group E,some college,standard,none,76,78,80,3,5,Excellent,Never,4,1,5,Doesn't Participate,Yes,<15 min,59.75
male,group D,high school,free/reduced,none,60,57,51,3,2,Average,Rarely,3,0,25,Participates,No,<15 min,48.25
male,group D,master's degree,free/reduced,completed,84,89,90,9,4,Poor,Never,18,1,54,Participates,No,>60 min,79.25
male,group C,some high school,standard,none,75,72,62,7,5,Excellent,Sometimes,15,1,54,Participates,No,15-30 min,65.75
female,group C,associate's degree,standard,none,85,84,82,2,3,Poor,Rarely,12,0,51,Doesn't Participate,No,>60 min,75.5
female,group C,master's degree,free/reduced,none,40,58,54,8,4,Excellent,Rarely,1,0,13,Participates,No,>60 min,41.25
female,group E,some college,standard,none,61,64,62,4,2,Excellent,Sometimes,7,1,67,Doesn't Participate,Yes,15-30 min,63.5
female,group B,associate's degree,standard,none,58,63,65,9,7,Average,Never,16,0,85,Doesn't Participate,Yes,30-60 min,67.75
male,group D,some college,free/reduced,completed,69,60,63,10,6,Excellent,Rarely,20,1,99,Doesn't Participate,No,<15 min,72.75
female,group C,some college,standard,none,58,59,66,9,7,Good,Often,10,1,16,Doesn't Participate,Yes,30-60 min,49.75
male,group C,bachelor's degree,standard,completed,94,90,91,6,7,Average,Often,3,1,86,Doesn't Participate,No,<15 min,90.25
female,group C,associate's degree,standard,none,65,77,74,2,8,Poor,Never,19,0,45,Participates,No,15-30 min,65.25
female,group A,associate's degree,standard,none,82,93,93,1,8,Excellent,Often,20,1,33,Doesn't Participate,No,<15 min,75.25
female,group C,high school,standard,none,60,68,72,8,1,Poor,Rarely,5,1,23,Doesn't Participate,No,15-30 min,55.75
female,group E,bachelor's degree,standard,none,37,45,38,7,6,Average,Never,20,1,7,Participates,No,>60 min,31.75
male,group D,bachelor's degree,standard,none,88,78,83,3,4,Good,Rarely,16,1,80,Participates,No,30-60 min,82.25
male,group D,master's degree,standard,none,95,81,84,1,1,Good,Often,12,1,68,Participates,No,<15 min,82.0
male,group C,associate's degree,free/reduced,completed,65,73,68,8,1,Average,Sometimes,9,0,70,Participates,No,15-30 min,69.0
female,group C,high school,free/reduced,none,35,61,54,4,1,Good,Sometimes,20,1,62,Doesn't Participate,No,30-60 min,53.0
male,group B,bachelor's degree,free/reduced,none,62,63,56,5,6,Average,Sometimes,13,0,18,Doesn't Participate,Yes,30-60 min,49.75
male,group C,high school,free/reduced,completed,58,51,52,2,1,Good,Never,4,0,94,Doesn't Participate,Yes,30-60 min,63.75
male,group A,some college,standard,completed,100,96,86,10,6,Good,Often,10,1,2,Participates,No,<15 min,71.0
female,group E,bachelor's degree,free/reduced,none,61,58,62,7,7,Average,Sometimes,18,0,81,Participates,No,30-60 min,65.5
male,group D,some college,standard,completed,100,97,99,2,1,Excellent,Never,2,1,50,Doesn't Participate,No,>60 min,86.5
male,group B,associate's degree,free/reduced,completed,69,70,63,4,2,Excellent,Sometimes,10,1,96,Doesn't Participate,No,30-60 min,74.5
male,group D,associate's degree,standard,none,61,48,46,2,3,Average,Never,14,1,100,Doesn't Participate,No,30-60 min,63.75
male,group D,some college,free/reduced,none,49,57,46,1,6,Average,Never,0,0,69,Participates,Yes,>60 min,55.25
female,group C,some high school,standard,completed,44,51,55,1,2,Average,Never,5,1,12,Participates,No,>60 min,40.5
male,group D,some college,standard,none,67,64,70,2,4,Average,Rarely,10,1,74,Participates,No,<15 min,68.75
male,group B,high school,standard,none,79,60,65,7,7,Poor,Sometimes,2,0,18,Doesn't Participate,Yes,<15 min,55.5
female,group B,bachelor's degree,standard,completed,66,74,81,8,2,Excellent,Rarely,16,1,95,Participates,No,<15 min,79.0
female,group C,high school,standard,none,75,88,85,1,6,Average,Sometimes,5,0,50,Doesn't Participate,Yes,15-30 min,74.5
male,group D,some high school,standard,none,84,84,80,6,7,Good,Never,13,1,82,Participates,No,15-30 min,82.5
male,group A,high school,standard,none,71,74,64,8,6,Excellent,Never,8,1,48,Doesn't Participate,No,>60 min,64.25
female,group B,high school,free/reduced,completed,67,80,81,2,3,Poor,Never,2,0,16,Doesn't Participate,Yes,>60 min,61.0
female,group D,some high school,standard,completed,80,92,88,3,5,Average,Sometimes,16,1,68,Participates,Yes,>60 min,82.0
male,group E,some college,standard,none,86,76,74,7,2,Poor,Rarely,7,0,81,Doesn't Participate,No,15-30 min,79.25
female,group D,associate's degree,standard,none,76,74,73,8,1,Average,Rarely,9,1,89,Participates,No,30-60 min,78.0
male,group D,high school,standard,none,41,52,51,1,4,Excellent,Sometimes,13,1,63,Doesn't Participate,Yes,>60 min,51.75
female,group D,associate's degree,free/reduced,completed,74,88,90,2,7,Poor,Often,1,1,60,Doesn't Participate,Yes,30-60 min,78.0
female,group B,some high school,free/reduced,none,72,81,79,1,6,Excellent,Sometimes,4,0,44,Participates,No,30-60 min,69.0
female,group E,high school,standard,completed,74,79,80,7,2,Excellent,Often,4,0,16,Participates,No,<15 min,62.25
male,group B,high school,standard,none,70,65,60,4,6,Average,Rarely,20,1,1,Doesn't Participate,Yes,>60 min,49.0
female,group B,bachelor's degree,standard,completed,65,81,81,4,4,Excellent,Rarely,7,0,17,Participates,No,>60 min,61.0
female,group D,associate's degree,standard,none,59,70,65,5,4,Excellent,Rarely,2,1,96,Participates,Yes,<15 min,72.5
female,group E,high school,free/reduced,none,64,62,68,2,5,Average,Often,10,1,67,Participates,No,>60 min,65.25
female,group B,high school,standard,none,50,53,55,6,5,Average,Never,7,1,92,Participates,Yes,<15 min,62.5
female,group D,some college,standard,completed,69,79,81,10,8,Excellent,Rarely,13,1,98,Participates,No,30-60 min,81.75
male,group C,some high school,free/reduced,completed,51,56,53,6,4,Poor,Rarely,8,1,51,Participates,Yes,<15 min,52.75
female,group A,high school,standard,completed,68,80,76,7,6,Average,Rarely,11,0,70,Participates,Yes,>60 min,73.5
female,group D,some college,standard,completed,85,86,98,6,6,Average,Never,9,0,1,Participates,No,>60 min,67.5
female,group A,associate's degree,standard,completed,65,70,74,9,7,Average,Rarely,5,1,88,Doesn't Participate,No,30-60 min,74.25
female,group B,some high school,standard,none,73,79,79,6,5,Good,Rarely,12,0,67,Doesn't Participate,Yes,15-30 min,74.5
female,group B,some college,standard,none,62,67,67,6,7,Average,Often,10,1,72,Doesn't Participate,Yes,30-60 min,67.0
male,group C,associate's degree,free/reduced,none,77,67,64,9,1,Poor,Rarely,7,0,8,Participates,No,30-60 min,54.0
male,group D,some high school,standard,none,69,66,61,3,4,Poor,Often,3,0,39,Doesn't Participate,Yes,30-60 min,58.75
female,group D,associate's degree,free/reduced,none,43,60,58,3,4,Excellent,Rarely,17,1,80,Doesn't Participate,No,15-30 min,60.25
male,group D,associate's degree,standard,none,90,87,85,1,1,Poor,Sometimes,18,1,13,Doesn't Participate,No,30-60 min,68.75
male,group C,some college,free/reduced,none,74,77,73,4,6,Good,Sometimes,5,0,83,Doesn't Participate,No,15-30 min,76.75
male,group C,some high school,standard,none,73,66,63,2,2,Good,Often,11,1,33,Participates,No,30-60 min,58.75
female,group D,some college,free/reduced,none,55,71,69,10,7,Good,Often,15,1,17,Participates,No,15-30 min,53.0
female,group C,high school,standard,none,65,69,67,8,2,Average,Never,14,0,78,Doesn't Participate,Yes,>60 min,69.75
male,group D,associate's degree,standard,none,80,63,63,1,4,Average,Often,4,0,82,Doesn't Participate,Yes,15-30 min,72.0
female,group C,some high school,free/reduced,completed,50,60,60,2,3,Average,Never,19,1,1,Doesn't Participate,No,>60 min,42.75
female,group C,some college,free/reduced,completed,63,73,71,4,8,Poor,Rarely,8,0,11,Doesn't Participate,No,15-30 min,54.5
female,group B,bachelor's degree,free/reduced,none,77,85,87,10,4,Excellent,Rarely,9,1,37,Doesn't Participate,No,15-30 min,71.5
male,group C,some college,standard,none,73,74,61,7,1,Poor,Often,3,1,40,Doesn't Participate,No,>60 min,62.0
male,group D,associate's degree,standard,completed,81,72,77,7,8,Average,Never,5,1,98,Doesn't Participate,No,<15 min,82.0
female,group C,high school,free/reduced,none,66,76,68,2,4,Poor,Never,13,0,54,Participates,No,>60 min,66.0
male,group D,associate's degree,free/reduced,none,52,57,50,9,8,Poor,Never,6,1,27,Participates,Yes,15-30 min,46.5
female,group C,some college,standard,none,69,78,76,10,5,Average,Rarely,4,0,94,Doesn't Participate,Yes,>60 min,79.25
female,group C,associate's degree,standard,completed,65,84,84,3,4,Average,Rarely,6,1,100,Participates,No,15-30 min,83.25
female,group D,high school,standard,completed,69,77,78,9,5,Average,Often,2,1,49,Participates,Yes,30-60 min,68.25
female,group B,some college,standard,completed,50,64,66,9,1,Good,Sometimes,3,0,37,Doesn't Participate,No,<15 min,54.25
female,group E,some college,standard,completed,73,78,76,4,7,Excellent,Rarely,1,0,8,Participates,No,>60 min,58.75
female,group C,some high school,standard,completed,70,82,76,5,6,Poor,Sometimes,2,1,5,Participates,Yes,>60 min,58.25
male,group D,associate's degree,free/reduced,none,81,75,78,10,2,Good,Rarely,15,0,72,Doesn't Participate,Yes,<15 min,76.5
male,group D,some college,free/reduced,none,63,61,60,3,2,Excellent,Rarely,18,0,45,Participates,Yes,<15 min,57.25
female,group D,high school,standard,none,67,72,74,2,6,Average,Rarely,2,1,83,Doesn't Participate,Yes,15-30 min,74.0
male,group B,high school,standard,none,60,68,60,9,8,Poor,Often,1,1,89,Doesn't Participate,Yes,30-60 min,69.25
male,group B,high school,standard,none,62,55,54,6,2,Good,Sometimes,1,1,4,Participates,Yes,15-30 min,43.75
female,group C,some high school,free/reduced,completed,29,40,44,1,6,Average,Often,8,1,31,Participates,No,<15 min,36.0
male,group B,some college,standard,completed,62,66,68,7,4,Average,Sometimes,14,0,25,Participates,Yes,<15 min,55.25
female,group E,master's degree,standard,completed,94,99,100,4,7,Average,Rarely,11,0,83,Doesn't Participate,Yes,<15 min,94.0
male,group E,some college,standard,completed,85,75,68,7,4,Average,Often,9,1,89,Participates,No,15-30 min,79.25
male,group D,associate's degree,free/reduced,none,77,78,73,10,3,Excellent,Never,13,0,91,Participates,Yes,<15 min,79.75
male,group A,high school,free/reduced,none,53,58,44,4,1,Average,Rarely,5,0,10,Participates,Yes,30-60 min,41.25
male,group E,some college,free/reduced,none,93,90,83,8,5,Poor,Often,6,0,30,Doesn't Participate,No,30-60 min,74.0
female,group C,associate's degree,standard,none,49,53,53,7,7,Good,Often,8,1,16,Participates,Yes,15-30 min,42.75
female,group E,associate's degree,free/reduced,none,73,76,78,8,4,Poor,Never,17,0,73,Participates,Yes,15-30 min,75.0
female,group C,bachelor's degree,free/reduced,completed,66,74,81,6,3,Average,Often,0,1,38,Doesn't Participate,No,30-60 min,64.75
female,group D,associate's degree,standard,none,77,77,73,1,2,Good,Sometimes,16,0,38,Doesn't Participate,No,<15 min,66.25
female,group C,some high school,standard,none,49,63,56,4,6,Excellent,Often,5,0,63,Doesn't Participate,No,<15 min,57.75
female,group D,some college,free/reduced,none,79,89,86,7,4,Poor,Rarely,10,0,99,Doesn't Participate,No,15-30 min,88.25
female,group C,associate's degree,standard,completed,75,82,90,7,6,Excellent,Rarely,16,0,3,Doesn't Participate,No,>60 min,62.5
female,group A,bachelor's degree,standard,none,59,72,70,6,4,Excellent,Never,9,0,31,Doesn't Participate,Yes,>60 min,58.0
female,group D,associate's degree,standard,completed,57,78,79,2,6,Poor,Sometimes,2,1,44,Doesn't Participate,No,>60 min,64.5
male,group C,high school,free/reduced,none,66,66,59,1,5,Average,Rarely,10,1,54,Participates,Yes,>60 min,61.25
female,group E,bachelor's degree,standard,completed,79,81,82,10,2,Poor,Sometimes,11,1,9,Doesn't Participate,Yes,>60 min,62.75
female,group B,some high school,standard,none,57,67,72,2,2,Average,Sometimes,0,0,47,Participates,Yes,30-60 min,60.75
male,group A,bachelor's degree,standard,completed,87,84,87,7,4,Average,Rarely,19,0,25,Participates,No,<15 min,70.75
female,group D,some college,standard,none,63,64,67,9,1,Excellent,Never,10,1,74,Participates,No,>60 min,67.0
